LogIndex,PCDate,PCTime,MEActFOCons,DGActFOCons,BlrActFOCons,MEActMGOCons,DGActMGOCons,BlrActMGOCons,MEAccFOCons,DGAccFOCons,BlrAccFOCons,DGAccMGOCons,BlrAccMGOCons,MEFOInTemp,DGFOInTemp,BlrFOInTemp,DGMGOInTemp,BlrMGOInTemp,FCMFODensity,DGFODensity,BlrFODensity,DGMGODensity,BlrMGODensity,DG1Power,DG2Power,DG3Power,MESFOC_kw,MESFOC_nmile,MERpm,METorque,MEShaftPow,ShipSpdToWater,ShipSpd,ShipHeel,ShipTrim,ShipDraft,ShipSlip,WindSpd,WindDir,Latitude,Longitude,ShipDraughtBow,ShipDraughtAstern,ShipDraughtMidLft,ShipDraughtMidRgt
28,2020/3/1,0:04:55,293.0758972,382.5017395,0,0,0,0,1787805.625,395504.125,66601.75781,8230.599609,1858.788086,76.62343597,90.18587494,82.490625,512.4310913,25.2015625,890.5203247,514.8998413,823.857605,30.90667915,838.8849487,1042,816,0,217.4153595,30.52873993,47,275,1348,9.6,9.564,-0.4,2,8.07,-1.065702558,24,26,28.41 N,123.25 E,7.07,9.07,7.39,7.79
29,2020/3/1,0:05:05,298.9527588,375.8834839,0,0,0,0,1787806.203,395505.5469,66601.75781,8230.599609,1858.788086,76.61562347,90.27192688,82.50625,512.5147095,25.2015625,890.2364502,514.7697144,823.7174072,30.9088192,838.9708862,1018,809,0,228.5571594,31.46871185,46,269,1308,9.5,9.564,0.11,2.04,8.16,-2.187129021,23.7,27,28.41 N,123.25 E,7.14,9.18,7.74,7.63
30,2020/3/1,0:05:15,294.4550781,379.5550537,0,0,0,0,1787806.766,395506.9844,66601.75781,8230.599609,1858.788086,76.61562347,90.26363373,82.4828125,512.5197754,25.2015625,890.3816528,514.7841187,824.1132813,30.89217949,838.9872437,1045,836,0,226.8529053,30.99527168,46,267,1298,9.5,9.548,0.09,2.14,8.13,-2.187129021,24.3,26,28.41 N,123.25 E,7.06,9.2,7.65,7.56
31,2020/3/1,0:05:25,290.0488281,384.2896118,0,0,0,0,1787806.828,395508.4219,66601.75781,8230.599609,1858.788086,76.59218597,90.31035614,82.490625,512.4126587,25.2015625,890.4333496,514.7245483,824.1465454,30.90295792,838.8000488,1038,816,0,221.9195251,30.21341896,47,268,1307,9.6,9.559,0.02,2.19,8.055,-1.065702558,24,27,28.41 N,123.25 E,6.96,9.15,7.7,7.68
32,2020/3/1,0:05:37,281.1901245,390.2121582,0,0,0,0,1787807.359,395510.1406,66601.75781,8230.599609,1858.788086,76.59218597,90.23704529,82.4671875,512.5583496,25.2015625,890.4658813,514.831604,823.8757324,30.87284088,838.9623413,1035,819,0,216.4666138,29.29063797,46,267,1299,9.6,9.542,0.37,1.91,8.185,-3.262783051,24.7,27,28.41 N,123.25 E,7.23,9.14,7.68,7.31
33,2020/3/1,0:05:47,287.6083374,387.3629761,0,0,0,0,1787807.859,395511.6406,66601.75781,8230.599609,1858.788086,76.62343597,90.22350311,82.428125,512.5425415,25.19375,890.3798218,514.8342896,825.4683838,30.8850174,838.7925415,1036,812,0,213.9942932,29.95920181,46,272,1344,9.6,9.542,-0.24,2.26,7.99,-3.262783051,25.1,26,28.41 N,123.25 E,6.86,9.12,7.69,7.93
34,2020/3/1,0:05:57,294.2138367,379.0593567,0,0,0,0,1787808.438,395513.0625,66601.75781,8230.599609,1858.788086,76.59999847,90.25666046,82.4828125,512.4866943,25.2015625,890.3990479,514.777771,823.8366089,30.87580681,838.6474609,1043,830,0,220.2199402,30.64727402,47,272,1336,9.6,9.541,-0.07,2.05,8.135,-1.065702558,24.3,28,28.41 N,123.25 E,7.11,9.16,7.73,7.8
35,2020/3/1,0:06:09,284.6412964,383.2925415,0,0,0,0,1787808.953,395514.7969,66601.75781,8230.599609,1858.788086,76.59218597,90.34887695,82.4515625,512.5300293,25.1859375,890.2728882,514.6508789,824.2228394,30.88175583,838.7416992,1023,811,0,215.800827,29.65013504,47,270,1319,9.6,9.523,0.19,1.92,8.16,-1.065702558,25.7,27,28.41 N,123.25 E,7.2,9.12,7.84,7.65
36,2020/3/1,0:06:19,293.2462463,376.0536194,0,0,0,0,1787809.281,395516.2188,66601.75781,8230.599609,1858.788086,76.56874847,90.18106079,82.4515625,512.59021,25.1859375,890.3412476,514.9382324,824.3439941,30.88620567,838.9269409,1024,803,0,223.5108643,30.54648399,47,269,1312,9.6,9.53,0.01,2.13,8.085,-1.065702558,24.4,21,28.41 N,123.25 E,7.02,9.15,7.6,7.59
37,2020/3/1,0:06:29,292.8661499,377.0169067,0,0,0,0,1787809.594,395517.6563,66601.75781,8230.599609,1858.788086,76.57656097,90.32226563,82.4359375,512.4992065,25.1859375,890.3751831,514.7374268,824.4059448,30.86414719,839.3415527,1028,808,0,223.0511475,30.50689125,46,269,1313,9.6,9.53,-0.12,1.91,8.095,-3.262783051,24,28,28.41 N,123.25 E,7.14,9.05,7.48,7.6
38,2020/3/1,0:06:41,287.2967834,379.6546936,0,0,0,0,1787810.125,395519.375,66601.75781,8230.599609,1858.788086,76.58437347,90.33631134,82.4125,512.4642944,25.19375,890.4996338,514.7435303,824.9180908,30.88439178,838.8135376,1028,814,0,219.8139191,29.92674828,46,268,1307,9.6,9.53,-0.22,2.13,7.975,-3.262783051,23.8,27,28.41 N,123.25 E,6.91,9.04,7.58,7.8
39,2020/3/1,0:06:51,294.0437012,378.1923218,0,0,0,0,1787810.688,395520.8125,66601.75781,8230.599609,1858.788086,76.56093597,90.39820099,82.4359375,512.5239258,25.19375,890.5341797,514.6593018,824.2085571,30.8799572,839.1613159,1033,806,0,219.599472,30.62955284,46,272,1339,9.6,9.53,0.38,2.02,8.12,-3.262783051,24.3,27,28.41 N,123.25 E,7.11,9.13,7.73,7.35
40,2020/3/1,0:07:01,292.0601501,377.2970886,0,0,0,0,1787811,395522.25,66601.75781,8230.599609,1858.788086,76.55312347,90.30395508,82.4359375,512.5072632,25.1859375,890.4102173,514.821106,824.4898682,30.87606239,839.302063,1025,803,0,219.594101,30.42293167,46,272,1330,9.6,9.505,0.11,2.09,8.165,-3.262783051,24.2,27,28.41 N,123.25 E,7.12,9.21,7.73,7.62
41,2020/3/1,0:07:11,289.1402588,376.6544189,0,0,0,0,1787811.578,395523.6719,66601.75781,8230.599609,1858.788086,76.55312347,90.34612274,82.428125,512.5050049,25.2015625,890.3870239,514.781189,823.9645386,30.89908028,838.4961548,1012,794,0,225.1871185,30.11877632,46,265,1284,9.6,9.505,-0.17,2.05,8.085,-3.262783051,24.2,27,28.41 N,123.25 E,7.06,9.11,7.59,7.76
42,2020/3/1,0:07:23,294.3200989,376.0331726,0,0,0,0,1787812.109,395525.3906,66601.75781,8230.599609,1858.788086,76.58437347,90.3697052,82.4203125,512.5984497,25.19375,890.4893799,514.7717285,824.447937,30.87771416,839.2960815,1030,811,0,222.4641724,30.65834427,46,270,1323,9.6,9.492,0.16,2.3,7.97,-3.262783051,24.1,28,28.41 N,123.25 E,6.82,9.12,7.65,7.49
43,2020/3/1,0:07:33,296.4853516,379.7804565,0,0,0,0,1787812.422,395526.8281,66601.75781,8230.599609,1858.788086,76.56093597,90.32844543,82.4203125,512.5194092,25.1859375,890.600769,514.8497925,824.2401733,30.87789726,838.9602051,1027,804,0,218.6470184,30.88389015,47,277,1356,9.6,9.492,-0.01,2.22,8.07,-1.065702558,23.5,26,28.41 N,123.25 E,6.96,9.18,7.48,7.49
